cerl_control_number|title|publication_year|language|publication_place|country|publisher
1208612|Histoire de l'admirable Don Quichotte de la Manche|1768|dut|Amsterdam|Netherlands|NA
1715441|Histoire de l'admirable Don Quichotte de la Manche|1750|fre|Frankfurt|Germany|NA
1809837|Don Quixote van Mancha. Abentheurliche Geschichte|1682|und|Basel frankfurt|NA|NA
1918778|Los seis libros de Galatea|1784|spa|Madrid|Spain|NA
3007692|The history of the most ingenious Knight Don Quixote de la Mancha|1706|eng|London|England|NA
3798874|L'ingegnoso cittadino Don Chisciotte della Mancia|1677|ita|Rome|Italy|NA
4191616|Don Quichotte de la Manche|1799|fre|Paris|France|NA
4589167|The History of the ingenious gentleman Don Quixote of la Mancha|1822|eng|Edinburgh|Scotland|NA
4931827|Relatione di quanto è successo nelle città di Vagliadolid , dopo il felicissimo nascimento del principe di Spagna don Filippo Dominico Vittorio...tradotta di lingua castigliana da Cesare Parona, ad instanza di Girolamo Bordoni|1608|ita|Milan|Italy|per girolamo bordoni pietromartire locarni
5773233|La Galatea, dividida en seys libros|1617|spa|Valladolid|NA|NA
